Date,CrestCast_100,CrestCast_50,Russell_3000,CrestCast Bond,,Risk_Free
5/31/01,0.02905763,0.02711000,0.00803100,,,0.00321667
6/30/01,-0.02955660,-0.03060000,-0.01843900,,,0.00295833
7/31/01,0.01778071,0.02367000,-0.01648100,,,0.00297500
8/31/01,-0.04300868,-0.04808000,-0.05903600,,,0.00288333
9/30/01,-0.08113349,-0.09326000,-0.08822500,,,0.00275000
10/31/01,-0.00035318,-0.00112000,0.02326600,,,0.00195833
11/30/01,0.00839485,0.00874000,0.07702300,,,0.00167500
12/31/01,0.02638780,0.03085000,0.01409500,,,0.00145833
1/31/02,0.01283494,0.02246000,-0.01254000,,,0.00142500
2/28/02,0.00432017,-0.00193000,-0.02044900,,,0.00144167
3/31/02,0.04866843,0.04329000,0.04384500,,,0.00146667
4/30/02,0.02522792,0.03186000,-0.05246400,,,0.00146667
5/31/02,-0.00665741,-0.00109000,-0.01158600,,,0.00145000
6/30/02,-0.02889037,-0.01397000,-0.07198400,,,0.00142500
7/31/02,-0.04907558,-0.04100000,-0.07950300,,,0.00139167
8/31/02,0.01505263,0.01031000,0.00472400,,,0.00140000
9/30/02,-0.04980531,-0.04732000,-0.10507100,,,0.00138333
10/31/02,0.01111318,0.01306000,0.07962700,,,0.00128333
11/30/02,-0.00089204,-0.00424000,0.06051100,,,0.00118333
12/31/02,0.01945482,0.01401000,-0.05653500,,,0.00100000
1/31/03,-0.03718454,-0.04543000,-0.02446900,,,0.00100000
2/28/03,-0.01883454,-0.02671000,-0.01645200,,,0.00096667
3/31/03,0.01208753,0.00270000,0.01051600,,,0.00098333
4/30/03,0.05519496,0.05806000,0.08165800,,,0.00093333
5/31/03,0.06100233,0.04825000,0.06036400,,,0.00092500
6/30/03,0.01000861,0.00615000,0.01349500,,,0.00090833
7/31/03,-0.01004452,-0.00498000,0.02294000,,,0.00074167
8/31/03,-0.05152416,-0.05601000,0.02216000,,,0.00078333
9/30/03,-0.03432660,-0.04971000,-0.01085700,,,0.00080000
10/31/03,0.09357139,0.07194000,0.06051900,,,0.00077500
11/30/03,0.03782213,0.04179000,0.01377400,,,0.00078333
12/31/03,-0.01235716,-0.01340000,0.04574000,,,0.00075833
1/31/04,0.03275115,0.02352000,0.02086100,,,0.00077500
2/29/04,-0.00308608,0.01811000,0.01347200,,,0.00075000
3/31/04,0.02155478,0.01150000,-0.01187000,,,0.00078333
4/30/04,-0.06805830,-0.06980000,-0.02067600,,,0.00077500
5/31/04,0.02801060,0.04519000,0.01453300,,,0.00080000
6/30/04,0.03075790,0.03149000,0.01987500,,,0.00088333
7/31/04,-0.10872567,-0.11785000,-0.03781500,,,0.00109167
8/31/04,-0.03744695,-0.03560000,0.00411800,,,0.00118333
9/30/04,0.00581132,0.01731000,0.01537200,,,0.00130833
10/31/04,0.01917861,0.02197000,0.01642400,,,0.00140000
11/30/04,0.08094994,0.08919000,0.04648600,,,0.00155833
12/31/04,0.02823325,0.03003000,0.03563200,,,0.00182500
1/31/05,-0.04390285,-0.05996000,-0.02663500,,,0.00181667
2/28/05,0.03267331,0.02646000,0.02201300,,,0.00206667
3/31/05,-0.03757591,-0.05181000,-0.01691400,,,0.00226667
4/30/05,-0.06186800,-0.06869000,-0.02172600,,,0.00227500
5/31/05,0.04752089,0.05411000,0.03789100,,,0.00236667
6/30/05,0.01909154,0.01923000,0.00698600,,,0.00244167
7/31/05,0.03774150,0.04059000,0.04102500,,,0.00255000
8/31/05,-0.00589767,-0.00280000,-0.00953300,,,0.00278333
9/30/05,0.03669833,0.03398000,0.00874900,,,0.00286667
10/31/05,-0.03885246,-0.04423000,-0.01872900,,,0.00289167
11/30/05,0.02630766,0.02699000,0.03889900,,,0.00324167
12/31/05,0.00268793,0.00775000,0.00089800,,,0.00321667
1/31/06,0.08195314,0.07641000,0.03341100,,,0.00332500
2/28/06,-0.07962942,-0.10156000,0.00177800,,,0.00364167
3/31/06,0.06405586,0.07528000,0.01728600,,,0.00375833
4/30/06,0.02094198,0.00427000,0.01084900,,,0.00376667
5/31/06,0.00394452,0.00888000,-0.03201600,,,0.00387500
6/30/06,-0.00404206,-0.01413000,0.00176900,,,0.00395000
7/31/06,0.01390990,0.00638000,-0.00093700,,,0.00405833
8/31/06,0.02311303,0.02718000,0.02446300,,,0.00414167
9/30/06,0.03801666,0.03574000,0.02238500,,,0.00410000
10/31/06,0.03939073,0.03355000,0.03599700,,,0.00397500
11/30/06,0.04168054,0.05135000,0.02175800,,,0.00412500
12/31/06,0.00786840,0.00554000,0.01197600,,,0.00408333
1/31/07,0.01028051,0.01864000,0.01903400,,,0.00407500
2/28/07,-0.01268808,-0.01213000,-0.01640400,,,0.00415833
3/31/07,0.00791871,0.00923000,0.01040800,,,0.00417500
4/30/07,0.02939494,0.03148000,0.03994700,,,0.00408333
5/31/07,0.04779420,0.05257000,0.03643800,,,0.00399167
6/30/07,-0.01674385,-0.00408000,-0.01872400,,,0.00383333
7/31/07,-0.00040055,-0.00043000,-0.03410300,,,0.00390000
8/31/07,0.03077884,0.02349000,0.01435400,0.02006800,0.01280600,0.00401667
9/30/07,0.04070603,0.04688000,0.03645700,0.00470400,0.00633600,0.00325833
10/31/07,0.02472219,0.02853000,0.01834400,0.01000400,0.01009600,0.00310000
11/30/07,-0.01598195,-0.01862000,-0.04501900,0.02315700,0.01792900,0.00320000
