Date,CrestCast_100,CrestCast_50,Russell_3000,CrestCast Bond,AGG,Risk_Free
8/31/07,0.03077884,0.02349,0.014354,0.020068,0.012806,0.00401667
9/30/07,0.04070603,0.04688,0.036457,0.004704,0.006336,0.00325833
10/31/07,0.02472219,0.02853,0.018344,0.010004,0.010096,0.00310000
11/30/07,-0.01598195,-0.01862,-0.045019,0.023157,0.017929,0.00320000
12/31/07,-0.00745124,-0.00978,-0.006051,-0.001936,-0.000046,0.00256667
1/31/08,-0.09761549,-0.10054,-0.060612,0.025347,0.023129,0.00274167
2/29/08,-0.01477341,-0.00835,-0.03106,0.00127,-0.001599,0.00160000
3/31/08,-0.0304608,-0.0289,-0.005925,0.001804,0.001295,0.00150833
4/30/08,0.00818528,0.01267,0.050009,-0.004163,0.003304,0.00113333
5/31/08,0.01444248,0.01592,0.020487,-0.016042,-0.012643,0.00117500
6/30/08,-0.03068787,-0.01737,-0.082521,-0.004281,-0.001861,0.00154167
7/31/08,-0.04998624,-0.06094,-0.007976,0.001944,0.003949,0.00155833
8/31/08,0.03468866,0.03843,0.015531,0.00391,0.007428,0.00137500
9/30/08,-0.01294618,-0.00553,-0.094024,-0.002003,-0.017612,0.00140833
10/31/08,-0.11093144,-0.10979,-0.17736,-0.01628,-0.022783,0.00075000
11/30/08,-0.01432585,-0.03122,-0.078939,0.054328,0.030312,0.00036667
12/31/08,-0.00429053,0.00197,0.019131,0.039771,0.066529,0.00000833
1/31/09,-0.0438307,-0.02831,-0.08392,-0.020256,-0.019866,0.00009167
2/28/09,-0.09933785,-0.10257,-0.104755,-0.009003,-0.01055,0.00020000
3/31/09,0.04088427,0.0405,0.087594,0.013754,0.011019,0.00021667
4/30/09,0.00666171,0.00317,0.105234,-0.006284,0.005154,0.00017500
5/31/09,0.03714195,0.03318,0.053364,0.010901,0.007113,0.00011667
6/30/09,0.02313512,0.02092,0.0034,0.016915,0.004248,0.00011667
7/31/09,-0.01181261,-0.03365,0.077836,0.031132,0.012695,0.00015833
8/31/09,0.00067179,-0.01681,0.035732,0.012196,0.012212,0.00015000
9/30/09,0.044947,0.04592,0.041896,0.006772,0.011888,0.00012500
10/31/09,-0.0740291,-0.08826,-0.02572,0.00099,0.00221,0.00011667
11/30/09,0.03705018,0.01385,0.056824,0.012282,0.012865,0.00004167
12/31/09,0.07636261,0.0803,0.028497,-0.020375,-0.018815,0.00005000
1/31/10,-0.07299896,-0.07556,-0.036048,0.01459,0.014149,0.00005000
2/28/10,0.04840626,0.04629,0.033902,0.002912,0.00199,0.00006667
3/31/10,0.09503472,0.12231,0.063027,-0.005621,-0.000071,0.00010833
4/30/10,0.04169638,0.04007,0.021581,0.008939,0.009734,0.00013333
5/31/10,-0.05054457,-0.03338,-0.078997,0.012468,0.010826,0.00013333
6/30/10,-0.05810846,-0.0455,-0.057488,0.016833,0.017678,0.00013333
7/31/10,0.08121122,0.09069,0.069422,0.00762,0.008553,0.00015000
8/31/10,-0.06437926,-0.0504,-0.047073,0.011511,0.012867,0.00012500
9/30/10,0.15054309,0.12894,0.094417,0.001613,0.000084,0.00011667
10/31/10,0.05101786,0.05262,0.039077,0.002768,0.001521,0.00013333
11/30/10,0.06098844,0.06822,0.005773,-0.004772,-0.008352,0.00010000
12/31/10,0.05080213,0.03097,0.067789,-0.017647,-0.00671,0.00014167
1/31/11,0.01207806,0.02473,0.021842,0.00552,-0.000851,0.00010000
2/28/11,0.06133712,0.05689,0.036408,0.003401,0.002913,0.00012500
3/31/11,0.03959777,0.03579,0.004511,-0.003397,-0.002228,0.00012500
4/30/11,0.04645382,0.04839,0.029765,0.01247,0.015674,0.00007500
